RptDt;TckrSymb;ISIN;Asst;XprtnCd;SgmtNm;OpnIntrst;VartnOpnIntrst;DstrbtnId;CvrdQty;TtlBlckdPos;UcvrdQty;TtlPos;BrrwrQty;LndrQty;CurQty;FwdPric
2025-11-28;AALR3T;BRAALRTNO008;AALR;;EQUITY FORWARD;16;;;;;;;;;262000;1346484,35
2025-11-28;AAPL34T;BRAAPLTNR005;AAPL;;EQUITY FORWARD;4;;;;;;;;;1406;98548,88
2025-11-28;AAPLB659;BRAAPL9B00E7;AAPL;;EQUITY CALL;;;154;100;0;0;100;3;1;;
2025-11-28;ABCB4T;BRABCBTNP006;ABCB;;EQUITY FORWARD;34;;;;;;;;;320100;7710785,2
2025-11-28;ABCBA218;BRABCB4A01A2;ABCB;;EQUITY CALL;;;148;0;0;200;200;1;1;;
2025-11-28;ABCBA220;BRABCB4A0135;ABCB;;EQUITY CALL;;;148;0;0;900;900;1;2;;
2025-11-28;ABCBA225;BRABCB4A0176;ABCB;;EQUITY CALL;;;148;0;0;300;300;2;3;;
2025-11-28;ABCBA228;BRABCB4A01B0;ABCB;;EQUITY CALL;;;148;100;0;0;100;1;1;;
2025-11-28;ABCBA230;BRABCB4A0192;ABCB;;EQUITY CALL;;;148;300;0;0;300;2;1;;
2025-11-28;ABCBA235;BRABCB4A0150;ABCB;;EQUITY CALL;;;148;300;0;1900;2200;3;6;;
2025-11-28;ABCBA238;BRABCB4A01C8;ABCB;;EQUITY CALL;;;148;0;0;1800;1800;1;3;;
2025-11-28;ABCBA240;BRABCB4A0184;ABCB;;EQUITY CALL;;;148;0;0;2800;2800;2;2;;
2025-11-28;ABCBA243;BRABCB4A00Y4;ABCB;;EQUITY CALL;;;148;2400;0;13300;15700;5;17;;
2025-11-28;ABCBA258;BRABCB4A01E4;ABCB;;EQUITY CALL;;;148;400;3000;300;3700;5;3;;
2025-11-28;ABCBA268;BRABCB4A01D6;ABCB;;EQUITY CALL;;;148;0;900;100;1000;2;2;;
2025-11-28;ABCBB199;BRABCB4B00X4;ABCB;;EQUITY CALL;;;147;0;0;4000;4000;1;2;;
2025-11-28;ABCBD200;BRABCB4D00E0;ABCB;;EQUITY CALL;;;147;0;0;100;100;1;1;;
2025-11-28;ABCBH20;BRABCB4H00N2;ABCB;;EQUITY CALL;;;147;0;0;100;100;1;1;;
2025-11-28;ABCBK20;BRABCB4K0182;ABCB;;EQUITY CALL;;;147;0;100;0;100;1;1;;
2025-11-28;ABCBL200;BRABCB4L0124;ABCB;;EQUITY CALL;;;147;0;0;800;800;1;3;;
2025-11-28;ABCBL213;BRABCB4L01E1;ABCB;;EQUITY CALL;;;148;100;0;200;300;1;3;;
2025-11-28;ABCBL215;BRABCB4L01O0;ABCB;;EQUITY CALL;;;148;0;100;100;200;1;2;;
2025-11-28;ABCBL218;BRABCB4L01F8;ABCB;;EQUITY CALL;;;148;100;0;1300;1400;2;4;;
2025-11-28;ABCBL220;BRABCB4L01L6;ABCB;;EQUITY CALL;;;148;300;0;200;500;1;2;;
2025-11-28;ABCBL223;BRABCB4L01A9;ABCB;;EQUITY CALL;;;148;1500;1400;2800;5700;3;10;;
2025-11-28;ABCBL225;BRABCB4L01N2;ABCB;;EQUITY CALL;;;148;3000;100;3700;6800;2;12;;
2025-11-28;ABCBL228;BRABCB4L01D3;ABCB;;EQUITY CALL;;;148;1100;0;9100;10200;3;13;;
2025-11-28;ABCBL233;BRABCB4L0165;ABCB;;EQUITY CALL;;;148;2400;0;4000;6400;3;12;;
2025-11-28;ABCBL235;BRABCB4L01P7;ABCB;;EQUITY CALL;;;148;2800;0;8600;11400;2;13;;
2025-11-28;ABCBL238;BRABCB4L0181;ABCB;;EQUITY CALL;;;148;1000;0;1500;2500;2;8;;
